p227_001| PLIY1Z KAO1L STEH1LAH0 .
p227_002| AE1SK HHER1 TUW1 BRIH1NG DHIY1Z THIH1NGZ WIH1DH HHER1 FRAH1M DHAH0 STAO1R .
p227_003| SIH1KS SPUW1NZ AH1V FREH1SH SNOW1 PIY1Z FAY1V THIH1K SLAE1BZ AH1V BLUW1 CHIY1Z AH0ND MEY1BIY0 AH0 SNAE1K FAO1R HHER1 BRAH1DHER0 BAA1B .
p227_004| WIY1 AO1LSOW0 NIY1D AH0 SMAO1L PLAE1STIH0K SNEY1K AH0ND AH0 BIH1G TOY1 FRAA1G FAO1R DHAH0 KIH1DZ .
p227_005| SHIY1 KAE1N SKUW1P DHIY1Z THIH1NGZ IH1NTUW0 THRIY1 REH1D BAE1GZ AH0ND WIY1 WIH1L GOW1 MIY1T HHER1 WEH1NZDIY0 AE1T DHAH0 TREY1N STEY1SHAH0N .
p227_006| WEH1N DHAH0 SAH1NLAY2T STRAY1KS REY1NDRAA2PS IH0N DHAH0 EH1R DHEY1 AE1KT AE1Z AH0 PRIH1ZAH0M AH0ND FAO1RM AH0 REY1NBOW2 .
p227_008| DHIY1Z TEY1K DHAH0 SHEY1P AH1V AH0 LAO1NG RAW1ND AA1RCH , WIH1DH IH1TS PAE1TH HHAY1 AH0BAH1V , AH0ND IH1TS TUW1 EH1NDZ AH0PEH1RAH0NTLIY0 BIH0AA1ND DHAH0 HHER0AY1ZAH0N .
p227_009| DHEH1R IH1Z AH0KAO1RDIH0NG TUW1 LEH1JHAH0ND , AH0 BOY1LIH0NG PAA1T AH1V GOW1LD AE1T WAH1N EH1ND .
p227_010| PIY1PAH0L LUH1K , BAH1T NOW1 WAH1N EH1VER0 FAY1NDZ IH1T .
p227_011| WEH1N AH0 MAE1N LUH1KS FAO1R SAH1MTHIH0NG BIH0AA1ND HHIH1Z RIY1CH , HHIH1Z FREH1NDZ SEY1 HHIY1 IH1Z LUH1KIH0NG FAO1R DHAH0 PAA1T AH1V GOW1LD AE1T DHAH0 EH1ND AH1V DHAH0 REY1NBOW2 .
p227_012| THRUW0AW1T DHAH0 SEH1NCHER0IY0Z PIY1PAH0L HHAE1V IH0KSPLEY1ND DHAH0 REY1NBOW2 IH0N VEH1RIY0AH0S WEY1Z .
p227_013| SAH1M HHAE1V AE0KSEH1PTIH0D IH1T AE1Z AH0 MIH1RAH0KAH0L WIH0THAW1T FIH1ZIH0KAH0L EH2KSPLAH0NEY1SHAH0N .
p227_014| TUW1 DHAH0 HHIY1BRUW0Z IH1T WAA1Z AH0 TOW1KAH0N DHAE1T DHEH1R WUH1D BIY1 NOW1 MAO1R YUW2NAH0VER1SAH0L FLAH1DZ .
p227_015| DHAH0 GRIY1KS YUW1ZD TUW1 IH2MAE1JHAH0N DHAE1T IH1T WAA1Z AH0 SAY1N FRAH1M DHAH0 GAA1DZ TUW1 FAO0RTEH1L WAO1R AO1R HHEH1VIY0 REY1N .
p227_016| DHAH0 NAO1RSMIH0N KAH0NSIH1DER0D DHAH0 REY1NBOW2 AE1Z AH0 BRIH1JH OW1VER0 WIH1CH DHAH0 GAA1DZ PAE1ST FRAH1M ER1TH TUW1 DHEH1R HHOW1M IH0N DHAH0 SKAY1 .
p227_017| AH1DHER0Z HHAE1V TRAY1D TUW1 IH0KSPLEY1N DHAH0 FAH0NAA1MAH0NAA2N FIH1ZIH0KAH0LIY0 .
p227_018| EH1RAH0STAA2TAH0L THAO1T DHAE1T DHAH0 REY1NBOW2 WAA1Z KAA1ZD BAY1 RAH0FLEH1KSHAH0N IH0N DHAH0 SAH1NZ REY1Z BAY1 DHAH0 REY1N .
p227_020| MEH1NIY0 KAA1MPLAH0KEY2TAH0D AY0DIY1AH0Z AH0BAW1T DHAH0 REY1NBOW2 HHAE1V BIH1N FAO1RMD .
p227_021| DHAH0 DIH1FER0AH0NS IH0N DHAH0 REY1NBOW2 DIH0PEH1NDZ KAH0NSIH1DER0AH0BLIY0 AH0PAA1N DHAH0 SAY1Z AH1V DHAH0 DRAA1PS , AH0ND DHAH0 WIH1DTH AH1V DHAH0 KAH1LER0D BAE1ND IH2NKRIY1SIH0Z AE1Z DHAH0 SAY1Z AH1V DHAH0 DRAA1PS IH2NKRIY1SIH0Z .
p227_022| DHAH0 AE1KCHAH0WAH0L PRAY1MEH2RIY0 REY1NBOW2 AH0BZER1VD IH1Z SEH1D TUW1 BIY1 DHAH0 IH0FEH1KT AH1V SUW1PER0 IH2MPAH0ZIH1SHAH0N AH1V AH0 NAH1MBER0 AH1V BAW1Z .
p227_023| IH1F DHAH0 REH1D AH1V DHAH0 SEH1KAH0ND BAW1 FAO1LZ AH0PAA1N DHAH0 GRIY1N AH1V DHAH0 FER1ST , DHAH0 RIH0ZAH1LT IH1Z TUW1 GIH1V AH0 BAW1 WIH1DH AE1N AE0BNAO1RMAH0LIY0 WAY1D YEH1LOW0 BAE1ND , SIH1NS REH1D AH0ND GRIY1N LAY1T WEH1N MIH1KST FAO1RM YEH1LOW0 .
p227_024| DHIH1S IH1Z AH0 VEH1RIY0 KAA1MAH0N TAY1P AH1V BAW1 , WAH1N SHOW1IH0NG MEY1NLIY0 REH1D AH0ND YEH1LOW0 , WIH1DH LIH1TAH0L AO1R NOW1 GRIY1N AO1R BLUW1 .
p227_025| MIY1TIH0NGZ WIH1L AO1LSOW0 RIH0MEY1N PRAY1VAH0T .
p227_026| MUW1VMAH0NT HHAE1Z TUW1 TEY1K PLEY1S .
p227_027| AY1 FIY1L AY1 DIH1D NAA1T HHAE1V IH0NAH1F TAY1M .
p227_029| DHIH1S IH1Z AH0 SEH1NTRAH0L IH1SHUW0 .
p227_030| DHAH0 OW1VER0AO2L PIH1KCHER0 IH1Z HHEH1LTHIY0 .
p227_032| DHEH1R , YUW1 WER1 JHAH1ST AH0 BAA1DIY0 .
p227_033| IH1T IH1Z NAA1T FAO1R EH1NIY0 AH1DHER0 PER1PAH0S .
p227_034| PREH1ZIH0DAH0NT BUH1SH IH1Z AE1T WAO1R .
p227_035| AY1 BIH0KEY1M AH0 WIH1DOW0 .
p227_036| IY0EY1N DAH1NGKAH0N SMIH1TH IH1Z AH0 DIY1SAH0NT MAE1N .
p227_037| DHIH1S REH2PRIH0ZEH1NTS AH0 TAH1F GEY1M FAO1R AH1S .
p227_039| AH0MAH1NG DHEH1M AA1R MEH1NIY0 KRIH1MAH0NAH0LZ .
p227_040| YEH1STER0DEY2 , HHIY1 WAA1Z BIH1ZIY0 IH0N HHIH1Z AO1FAH0S .
p227_041| HHIY1 LUH1KS LAY1K AE1N AE1FGAE2N .
p227_042| KAA1NSAH0NTREY2T AA1N DHAH0 TEH1MZ VAE1LIY0 .
p227_043| KAH1M BAE1K FRAH1M LAH1NDAH0N .
p227_044| IH1F AY1 WAA1Z AH0 WUH1MAH0N .
p227_045| HHIY1 WAA1Z AH0 HHOW1M REH2FER0IY1 .
p227_046| DHEH1R WAA1Z NOW1 SEY1FTIY0 NEH1T .
p227_048| WIY1 HHAE1V TUW1 LUH1K BIH0AA1ND DHAH0 VEH1RIY0 SHAO1RT TER1M .
p227_049| AY1 IH0KSPEH1KT AH0 RAE1PIH0D RIH0SPAA1NS .
p227_050| DHAE1T IH1Z VEH1RIY0 HHAA1RD , AH0LOW1N .
p227_051| DHAH0 MOW1TIH0V FAO1R DHAH0 SHUW1TIH0NG WAA1Z NAA1T NOW1N .
p227_052| IH0N TAY1M DHAH0 FER1ST MIH1NAH0STER0 WIH1L GROW1 IH0N STAE1CHER0 .
p227_053| FAO1R AH1DHER0 CHAA1RJHIH0Z WER1 DRAA1PT .
p227_054| AY1 KUH1D NAA1T DUW1 IH1T .
p227_055| WAY1 DUW1 YUW1 WAA1NT TUW1 KAH1M TUW1 EH1DAH0NBER0OW0 ?
p227_056| HHAW1 AA1R YUW1 ?
p227_058| DUW1 AY1 HHAE1V AH0 FEY1VER0IH0T ?
p227_059| WAH1T DUW1 WIY1 DUW1 ?
p227_060| DHAH0 REY1T AH1V GROW1TH IH0N ROW1D TRAE1FIH0K IH1Z AO0LREH1DIY0 BIH0GIH1NIH0NG TUW1 SLOW1 .
p227_062| DHEY1 HHAE1V TUW1 KAH1M AH1P WIH1DH AH0 SAA0LUW1SHAH0N .
p227_063| WIY1 WIH1L PEY1 DHEH1R BIH1LZ .
p227_064| OW1VER0 TAY1M , WIH1DH PEY1SHAH0NS AH0ND PRIY0SIH1ZHAH0N , DHAH0 TEH1RAH0RIH2STS WIH1L BIY1 PER0SUW1D .
p227_065| HHIY1 BIH0KAH1MZ DHAH0 NUW1 MIH1NAH0STER0 FAO1R SPAO1RT AH0ND KAH1LCHER0 .
p227_067| AY1 HHAE1V PRUW1VD DHAE1T IH0N DHAH0 PAE1ST .
p227_068| HHIY1 HHAE1D BIH1N AH0 SIH1NGER0 .
p227_069| DHEY1 WUH1D NAW1 BIY1 EY1BAH0L TUW1 LUH1K FAO1RWER0D WIH1DH KAA1NFAH0DEH0NS .
